    Fribourg_Switzerland
    46.82,7.16,610,+1
	m	d	h	#sunAzimuth	sunAltitude
2170	4	1	9	115.083	27.1173
2171	4	1	10	129.403	35.7992
2172	4	1	11	146.61	42.679
2173	4	1	12	166.936	46.7451
2174	4	1	13	188.908	47.1196
2175	4	1	14	209.726	43.7075
2176	4	1	15	227.551	37.2838
2177	4	1	16	242.361	28.8778
2178	4	1	17	254.997	19.3226
2179	4	1	18	266.383	9.20428
2180	4	1	19	277.323	-1.04297
2181	4	1	20	288.53	-11.0371
2182	4	1	21	300.698	-20.3629
2183	4	1	22	314.511	-28.496
2184	4	1	23	330.499	-34.7531
2185	4	2	0	348.774	-37.9783
2186	4	2	1	7.81107	-38.2854
2187	4	2	2	26.1308	-35.2792
2188	4	2	3	42.4818	-29.4838
2189	4	2	4	56.6375	-21.669
2190	4	2	5	69.0454	-12.541
2191	4	2	6	80.3708	-2.64949
2192	4	2	7	91.3025	7.57617
2193	4	2	8	102.545	17.7544
2194	4	2	9	114.882	27.4683
2195	4	2	10	129.232	36.1679
2196	4	2	11	146.51	43.0659
2197	4	2	12	166.963	47.1384
2198	4	2	13	189.084	47.4946
2199	4	2	14	210.012	44.0429
2200	4	2	15	227.883	37.5759
2201	4	2	16	242.701	29.1356
2202	4	2	17	255.331	19.5587
2203	4	2	18	266.709	9.43107
2204	4	2	19	277.644	-0.814157
2205	4	2	20	288.847	-10.7954
2206	4	2	21	301.008	-20.0978
2207	4	2	22	314.804	-28.1979
2208	4	2	23	330.747	-34.4165
2209	4	3	0	348.937	-37.6078
2210	4	3	1	7.86456	-37.8954
2211	4	3	2	26.0802	-34.8892
2212	4	3	3	42.3573	-29.1069
2213	4	3	4	56.4698	-21.3091
2214	4	3	5	68.8548	-12.1958
2215	4	3	6	80.1681	-2.31359
2216	4	3	7	91.0936	7.90936
2217	4	3	8	102.335	18.092
2218	4	3	9	114.681	27.8177
2219	4	3	10	129.06	36.5349
2220	4	3	11	146.409	43.4512
2221	4	3	12	166.989	47.5302
2222	4	3	13	189.263	47.868
2223	4	3	14	210.299	44.3766
2224	4	3	15	228.217	37.8662
2225	4	3	16	243.041	29.3918
2226	4	3	17	255.664	19.7936
2227	4	3	18	267.034	9.65692
2228	4	3	19	277.963	-0.585966
2229	4	3	20	289.162	-10.5541
2230	4	3	21	301.316	-19.833
2231	4	3	22	315.093	-27.9002
2232	4	3	23	330.992	-34.0805
2233	4	4	0	349.098	-37.2385
2234	4	4	1	7.91687	-37.507
2235	4	4	2	26.0299	-34.5008
2236	4	4	3	42.2338	-28.7315
2237	4	4	4	56.3033	-20.9506
2238	4	4	5	68.6651	-11.8519
2239	4	4	6	79.966	-1.97915
2240	4	4	7	90.885	8.24094
2241	4	4	8	102.125	18.4279
2242	4	4	9	114.479	28.1651
2243	4	4	10	128.887	36.9001
2244	4	4	11	146.307	43.8348
2245	4	4	12	167.016	47.9204
2246	4	4	13	189.442	48.2397
2247	4	4	14	210.589	44.7083
2248	4	4	15	228.551	38.1546
2249	4	4	16	243.382	29.6463
2250	4	4	17	255.997	20.0271
2251	4	4	18	267.359	9.88179
2252	4	4	19	278.28	-0.358449
2253	4	4	20	289.474	-10.3133
2254	4	4	21	301.621	-19.5685
2255	4	4	22	315.379	-27.6029
2256	4	4	23	331.234	-33.7453
2257	4	5	0	349.255	-36.8705
2258	4	5	1	7.96796	-37.1201
2259	4	5	2	25.9799	-34.114
2260	4	5	3	42.1114	-28.3577
2261	4	5	4	56.138	-20.5937
2262	4	5	5	68.4764	-11.5097
2263	4	5	6	79.7646	-1.64634
2264	4	5	7	90.6766	8.57078
2265	4	5	8	101.915	18.7619
2266	4	5	9	114.276	28.5106
2267	4	5	10	128.713	37.2633
2268	4	5	11	146.204	44.2166
2269	4	5	12	167.042	48.309
2270	4	5	13	189.623	48.6097
2271	4	5	14	210.88	45.038
2272	4	5	15	228.886	38.4411
2273	4	5	16	243.722	29.8991
2274	4	5	17	256.33	20.2592
2275	4	5	18	267.682	10.1057
2276	4	5	19	278.596	-0.131606
2277	4	5	20	289.785	-10.0729
2278	4	5	21	301.924	-19.3044
2279	4	5	22	315.663	-27.3061
2280	4	5	23	331.472	-33.4108
2281	4	6	0	349.41	-36.5038
2282	4	6	1	8.0177	-36.735
2283	4	6	2	25.9299	-33.7291
2284	4	6	3	41.9899	-27.9857
2285	4	6	4	55.9737	-20.2385
2286	4	6	5	68.2887	-11.1691
2287	4	6	6	79.5638	-1.31528
2288	4	6	7	90.4685	8.89874
2289	4	6	8	101.704	19.0939
2290	4	6	9	114.072	28.854
2291	4	6	10	128.537	37.6244
2292	4	6	11	146.099	44.5965
2293	4	6	12	167.067	48.6958
2294	4	6	13	189.806	48.9777
2295	4	6	14	211.173	45.3657
2296	4	6	15	229.222	38.7255
2297	4	6	16	244.063	30.1502
2298	4	6	17	256.661	20.4901
2299	4	6	18	268.003	10.3286
2300	4	6	19	278.91	0.0946033
2301	4	6	20	290.094	-9.83301
2302	4	6	21	302.224	-19.0407
2303	4	6	22	315.943	-27.0098
2304	4	6	23	331.707	-33.0773
2305	4	7	0	349.562	-36.1385
2306	4	7	1	8.0661	-36.3517
2307	4	7	2	25.8801	-33.3461
2308	4	7	3	41.8692	-27.6155
2309	4	7	4	55.8105	-19.8851
2310	4	7	5	68.1018	-10.8303
2311	4	7	6	79.3636	-0.986113
2312	4	7	7	90.2605	9.22469
2313	4	7	8	101.493	19.4237
2314	4	7	9	113.867	29.1952
2315	4	7	10	128.36	37.9833
2316	4	7	11	145.993	44.9742
2317	4	7	12	167.093	49.0807
2318	4	7	13	189.989	49.3439
2319	4	7	14	211.466	45.6914
2320	4	7	15	229.559	39.008
2321	4	7	16	244.403	30.3996
2322	4	7	17	256.992	20.7196
2323	4	7	18	268.323	10.5506
2324	4	7	19	279.223	0.320091
2325	4	7	20	290.4	-9.59357
2326	4	7	21	302.521	-18.7774
2327	4	7	22	316.219	-26.714
2328	4	7	23	331.939	-32.7446
2329	4	8	0	349.711	-35.7748
2330	4	8	1	8.11304	-35.9704
2331	4	8	2	25.8302	-32.9651
2332	4	8	3	41.7493	-27.2473
2333	4	8	4	55.6483	-19.5336
2334	4	8	5	67.9158	-10.4935
2335	4	8	6	79.164	-0.658973
2336	4	8	7	90.0527	9.54849
2337	4	8	8	101.282	19.7512
2338	4	8	9	113.662	29.5339
2339	4	8	10	128.181	38.3398
2340	4	8	11	145.885	45.3498
2341	4	8	12	167.117	49.4636
2342	4	8	13	190.173	49.708
2343	4	8	14	211.761	46.0149
2344	4	8	15	229.896	39.2884
2345	4	8	16	244.742	30.6473
2346	4	8	17	257.321	20.9477
2347	4	8	18	268.642	10.7715
2348	4	8	19	279.533	0.544896
2349	4	8	20	290.704	-9.35464
2350	4	8	21	302.816	-18.5146
2351	4	8	22	316.493	-26.4189
2352	4	8	23	332.167	-32.413
2353	4	9	0	349.857	-35.4127
2354	4	9	1	8.15836	-35.591
2355	4	9	2	25.7802	-32.5863
2356	4	9	3	41.6301	-26.8813
2357	4	9	4	55.4869	-19.1842
2358	4	9	5	67.7306	-10.1588
2359	4	9	6	78.9649	-0.333986
2360	4	9	7	89.8451	9.87001
2361	4	9	8	101.07	20.0764
2362	4	9	9	113.455	29.8702
2363	4	9	10	128	38.6938
2364	4	9	11	145.775	45.7231
2365	4	9	12	167.141	49.8444
2366	4	9	13	190.358	50.0701
2367	4	9	14	212.057	46.3363
2368	4	9	15	230.233	39.5668
2369	4	9	16	245.081	30.8933
2370	4	9	17	257.649	21.1746
2371	4	9	18	268.959	10.9915
2372	4	9	19	279.841	0.768999
2373	4	9	20	291.005	-9.11626
2374	4	9	21	303.107	-18.2523
2375	4	9	22	316.763	-26.1245
2376	4	9	23	332.391	-32.0825
2377	4	10	0	350.001	-35.0522
2378	4	10	1	8.20206	-35.2138
2379	4	10	2	25.7299	-32.2098
2380	4	10	3	41.5116	-26.5175
2381	4	10	4	55.3265	-18.837
2382	4	10	5	67.5461	-9.82625
2383	4	10	6	78.7663	-0.0112946
2384	4	10	7	89.6377	10.1891
2385	4	10	8	100.859	20.399
2386	4	10	9	113.248	30.2038
2387	4	10	10	127.818	39.0452
2388	4	10	11	145.663	46.0939
2389	4	10	12	167.163	50.223
2390	4	10	13	190.543	50.43
2391	4	10	14	212.354	46.6554
2392	4	10	15	230.57	39.8431
2393	4	10	16	245.419	31.1375
2394	4	10	17	257.976	21.4001
2395	4	10	18	269.274	11.2105
2396	4	10	19	280.148	0.992368
2397	4	10	20	291.303	-8.87841
2398	4	10	21	303.395	-17.9905
2399	4	10	22	317.029	-25.8308
2400	4	10	23	332.612	-31.7531
2401	4	11	0	350.141	-34.6936
2402	4	11	1	8.24414	-34.8388
2403	4	11	2	25.6795	-31.8357
2404	4	11	3	41.3936	-26.1561
2405	4	11	4	55.1669	-18.4921
2406	4	11	5	67.3625	-9.49607
2407	4	11	6	78.5683	0.308975
2408	4	11	7	89.4304	10.5057
2409	4	11	8	100.646	20.7189
2410	4	11	9	113.039	30.5346
2411	4	11	10	127.634	39.3938
2412	4	11	11	145.549	46.4622
2413	4	11	12	167.185	50.5993
2414	4	11	13	190.729	50.7876
2415	4	11	14	212.651	46.9722
2416	4	11	15	230.906	40.1173
2417	4	11	16	245.756	31.38
2418	4	11	17	258.302	21.6242
2419	4	11	18	269.587	11.4285
2420	4	11	19	280.451	1.21501
2421	4	11	20	291.599	-8.64117
2422	4	11	21	303.68	-17.7294
2423	4	11	22	317.292	-25.538
2424	4	11	23	332.829	-31.425
2425	4	12	0	350.277	-34.3369
2426	4	12	1	8.28445	-34.4662
2427	4	12	2	25.6288	-31.4641
2428	4	12	3	41.2762	-25.7971
2429	4	12	4	55.0081	-18.1497
2430	4	12	5	67.1796	-9.16837
2431	4	12	6	78.3707	0.626697
2432	4	12	7	89.2232	10.8196
2433	4	12	8	100.434	21.036
2434	4	12	9	112.83	30.8625
2435	4	12	10	127.449	39.7395
2436	4	12	11	145.433	46.8277
2437	4	12	12	167.205	50.9732
2438	4	12	13	190.915	51.1429
2439	4	12	14	212.949	47.2867
2440	4	12	15	231.243	40.3894
2441	4	12	16	246.092	31.6207
2442	4	12	17	258.625	21.847
2443	4	12	18	269.898	11.6455
2444	4	12	19	280.753	1.43691
2445	4	12	20	291.892	-8.40452
2446	4	12	21	303.962	-17.4688
2447	4	12	22	317.551	-25.246
2448	4	12	23	333.042	-31.0982
2449	4	13	0	350.411	-33.9822
2450	4	13	1	8.32297	-34.096
2451	4	13	2	25.5776	-31.0951
2452	4	13	3	41.1593	-25.4408
2453	4	13	4	54.8501	-17.8099
2454	4	13	5	66.9974	-8.84326
2455	4	13	6	78.1737	0.941743
2456	4	13	7	89.0162	11.1307
2457	4	13	8	100.221	21.3502
2458	4	13	9	112.619	31.1874
2459	4	13	10	127.262	40.0822
2460	4	13	11	145.315	47.1905
2461	4	13	12	167.224	51.3446
2462	4	13	13	191.101	51.4958
2463	4	13	14	213.247	47.5988
2464	4	13	15	231.579	40.6594
2465	4	13	16	246.427	31.8597
2466	4	13	17	258.947	22.0684
2467	4	13	18	270.207	11.8615
2468	4	13	19	281.051	1.65805
2469	4	13	20	292.182	-8.16851
2470	4	13	21	304.24	-17.209
2471	4	13	22	317.806	-24.9549
2472	4	13	23	333.251	-30.7728
2473	4	14	0	350.542	-33.6295
2474	4	14	1	8.35959	-33.7283
2475	4	14	2	25.5261	-30.7288
2476	4	14	3	41.0427	-25.0873
2477	4	14	4	54.6928	-17.4728
2478	4	14	5	66.8159	-8.52088
2479	4	14	6	77.9771	1.25399
2480	4	14	7	88.8094	11.4389
2481	4	14	8	100.008	21.6613
2482	4	14	9	112.408	31.5092
2483	4	14	10	127.073	40.4218
2484	4	14	11	145.195	47.5503
2485	4	14	12	167.242	51.7134
2486	4	14	13	191.287	51.8462
2487	4	14	14	213.546	47.9085
2488	4	14	15	231.914	40.9271
2489	4	14	16	246.76	32.0969
2490	4	14	17	259.267	22.2885
2491	4	14	18	270.514	12.0764
2492	4	14	19	281.347	1.87837
2493	4	14	20	292.469	-7.93322
2494	4	14	21	304.515	-16.9499
2495	4	14	22	318.057	-24.6648
2496	4	14	23	333.456	-30.4489
2497	4	15	0	350.669	-33.279
2498	4	15	1	8.39444	-33.3632
2499	4	15	2	25.474	-30.3653
2500	4	15	3	40.9266	-24.7366
2501	4	15	4	54.5362	-17.1385
2502	4	15	5	66.635	-8.20135
2503	4	15	6	77.781	1.56331
2504	4	15	7	88.6027	11.744
2505	4	15	8	99.7946	21.9692
2506	4	15	9	112.195	31.8276
2507	4	15	10	126.882	40.7581
2508	4	15	11	145.072	47.9071
2509	4	15	12	167.258	52.0794
2510	4	15	13	191.473	52.194
2511	4	15	14	213.844	48.2157
2512	4	15	15	232.248	41.1927
2513	4	15	16	247.091	32.3323
2514	4	15	17	259.584	22.5072
2515	4	15	18	270.818	12.2903
2516	4	15	19	281.641	2.09793
2517	4	15	20	292.753	-7.6986
2518	4	15	21	304.786	-16.6916
2519	4	15	22	318.304	-24.3758
2520	4	15	23	333.658	-30.1266
2521	4	16	0	350.793	-32.9308
2522	4	16	1	8.42731	-33.0009
2523	4	16	2	25.4214	-30.0048
2524	4	16	3	40.8107	-24.3888
2525	4	16	4	54.3802	-16.8071
2526	4	16	5	66.4549	-7.8848
2527	4	16	6	77.5854	1.86959
2528	4	16	7	88.3962	12.046
2529	4	16	8	99.5808	22.2739
2530	4	16	9	111.982	32.1427
2531	4	16	10	126.689	41.091
2532	4	16	11	144.947	48.2607
2533	4	16	12	167.272	52.4427
2534	4	16	13	191.659	52.5393
2535	4	16	14	214.142	48.5204
2536	4	16	15	232.582	41.456
2537	4	16	16	247.421	32.5659
2538	4	16	17	259.9	22.7244
2539	4	16	18	271.119	12.5031
2540	4	16	19	281.931	2.31662
2541	4	16	20	293.034	-7.46474
2542	4	16	21	305.054	-16.4341
2543	4	16	22	318.547	-24.088
2544	4	16	23	333.855	-29.8059
2545	4	17	0	350.913	-32.5849
2546	4	17	1	8.45819	-32.6414
2547	4	17	2	25.3682	-29.6474
2548	4	17	3	40.6952	-24.0441
2549	4	17	4	54.2249	-16.4789
2550	4	17	5	66.2754	-7.57132
2551	4	17	6	77.3904	2.17271
2552	4	17	7	88.1898	12.3447
2553	4	17	8	99.3668	22.5751
2554	4	17	9	111.768	32.4542
2555	4	17	10	126.495	41.4204
2556	4	17	11	144.82	48.611
2557	4	17	12	167.284	52.803
2558	4	17	13	191.844	52.8818
2559	4	17	14	214.439	48.8225
2560	4	17	15	232.914	41.7171
2561	4	17	16	247.749	32.7977
2562	4	17	17	260.213	22.9404
2563	4	17	18	271.418	12.715
2564	4	17	19	282.218	2.5345
2565	4	17	20	293.311	-7.23166
2566	4	17	21	305.318	-16.1775
2567	4	17	22	318.786	-23.8013
2568	4	17	23	334.048	-29.487
2569	4	18	0	351.03	-32.2415
2570	4	18	1	8.48697	-32.2849
2571	4	18	2	25.3143	-29.2931
2572	4	18	3	40.5799	-23.7027
2573	4	18	4	54.0702	-16.1538
2574	4	18	5	66.0965	-7.26106
2575	4	18	6	77.1957	2.47255
2576	4	18	7	87.9837	12.64
2577	4	18	8	99.1524	22.8728
2578	4	18	9	111.552	32.7621
2579	4	18	10	126.298	41.7462
2580	4	18	11	144.689	48.958
2581	4	18	12	167.294	53.1604
2582	4	18	13	192.028	53.2216
2583	4	18	14	214.736	49.122
2584	4	18	15	233.245	41.9759
2585	4	18	16	248.075	33.0277
2586	4	18	17	260.524	23.1549
2587	4	18	18	271.714	12.9257
2588	4	18	19	282.503	2.75148
2589	4	18	20	293.585	-6.99938
2590	4	18	21	305.577	-15.9218
2591	4	18	22	319.021	-23.516
2592	4	18	23	334.237	-29.1699
2593	4	19	0	351.144	-31.9006
2594	4	19	1	8.51376	-31.9314
2595	4	19	2	25.2597	-28.9421
2596	4	19	3	40.4648	-23.3645
2597	4	19	4	53.9161	-15.832
2598	4	19	5	65.9183	-6.95411
2599	4	19	6	77.0016	2.769
2600	4	19	7	87.7777	12.9318
2601	4	19	8	98.9377	23.1669
2602	4	19	9	111.336	33.0663
2603	4	19	10	126.1	42.0682
2604	4	19	11	144.557	49.3014
2605	4	19	12	167.302	53.5146
2606	4	19	13	192.212	53.5585
2607	4	19	14	215.033	49.4189
2608	4	19	15	233.574	42.2325
2609	4	19	16	248.398	33.2558
2610	4	19	17	260.832	23.368
2611	4	19	18	272.007	13.1353
2612	4	19	19	282.784	2.96756
2613	4	19	20	293.855	-6.768
2614	4	19	21	305.833	-15.6671
2615	4	19	22	319.252	-23.2319
2616	4	19	23	334.422	-28.8547
2617	4	20	0	351.254	-31.5623
2618	4	20	1	8.53854	-31.581
2619	4	20	2	25.2045	-28.5944
2620	4	20	3	40.3498	-23.0298
2621	4	20	4	53.7626	-15.5136
2622	4	20	5	65.7407	-6.65059
2623	4	20	6	76.808	3.06195
2624	4	20	7	87.572	13.2199
2625	4	20	8	98.7229	23.4572
2626	4	20	9	111.119	33.3666
2627	4	20	10	125.9	42.3864
2628	4	20	11	144.421	49.6412
2629	4	20	12	167.308	53.8656
2630	4	20	13	192.394	53.8925
2631	4	20	14	215.328	49.7131
2632	4	20	15	233.902	42.4867
2633	4	20	16	248.72	33.4822
2634	4	20	17	261.137	23.5797
2635	4	20	18	272.297	13.3438
2636	4	20	19	283.062	3.1827
2637	4	20	20	294.121	-6.53751
2638	4	20	21	306.085	-15.4135
2639	4	20	22	319.478	-22.9494
2640	4	20	23	334.602	-28.5414
2641	4	21	0	351.361	-31.2268
2642	4	21	1	8.561	-31.2338
2643	4	21	2	25.1485	-28.2502
2644	4	21	3	40.235	-22.6985
2645	4	21	4	53.6096	-15.1988
2646	4	21	5	65.5638	-6.35062
2647	4	21	6	76.6149	3.3513
2648	4	21	7	87.3665	13.5044
2649	4	21	8	98.5078	23.7436
2650	4	21	9	110.9	33.6629
2651	4	21	10	125.698	42.7006
2652	4	21	11	144.283	49.9772
2653	4	21	12	167.311	54.2133
2654	4	21	13	192.575	54.2235
2655	4	21	14	215.622	50.0045
2656	4	21	15	234.227	42.7386
2657	4	21	16	249.038	33.7066
2658	4	21	17	261.439	23.7899
2659	4	21	18	272.584	13.5512
2660	4	21	19	283.336	3.39688
2661	4	21	20	294.384	-6.30795
2662	4	21	21	306.333	-15.1611
2663	4	21	22	319.7	-22.6683
2664	4	21	23	334.779	-28.2303
2665	4	22	0	351.464	-30.8941
2666	4	22	1	8.58157	-30.89
2667	4	22	2	25.0917	-27.9096
2668	4	22	3	40.1204	-22.371
2669	4	22	4	53.4572	-14.8876
2670	4	22	5	65.3875	-6.0543
2671	4	22	6	76.4223	3.63692
2672	4	22	7	87.1613	13.785
2673	4	22	8	98.2926	24.0261
2674	4	22	9	110.681	33.9551
2675	4	22	10	125.494	43.0107
2676	4	22	11	144.142	50.3094
2677	4	22	12	167.312	54.5575
2678	4	22	13	192.755	54.5515
2679	4	22	14	215.915	50.2932
2680	4	22	15	234.551	42.9882
2681	4	22	16	249.355	33.9293
2682	4	22	17	261.739	23.9987
2683	4	22	18	272.868	13.7575
2684	4	22	19	283.607	3.61007
2685	4	22	20	294.643	-6.07941
2686	4	22	21	306.577	-14.9097
2687	4	22	22	319.918	-22.3887
2688	4	22	23	334.951	-27.9213
2689	4	23	0	351.564	-30.5643
2690	4	23	1	8.59988	-30.5496
2691	4	23	2	25.0341	-27.5727
2692	4	23	3	40.0058	-22.0471
2693	4	23	4	53.3052	-14.5801
2694	4	23	5	65.2118	-5.76174
2695	4	23	6	76.2303	3.91872
2696	4	23	7	86.9563	14.0617
2697	4	23	8	98.0772	24.3045
2698	4	23	9	110.461	34.2431
2699	4	23	10	125.288	43.3166
2700	4	23	11	143.997	50.6376
2701	4	23	12	167.31	54.8983
2702	4	23	13	192.934	54.8763
2703	4	23	14	216.206	50.579
2704	4	23	15	234.872	43.2354
2705	4	23	16	249.668	34.15
2706	4	23	17	262.035	24.2061
2707	4	23	18	273.148	13.9625
2708	4	23	19	283.874	3.82221
2709	4	23	20	294.898	-5.85192
2710	4	23	21	306.816	-14.6597
2711	4	23	22	320.131	-22.1109
2712	4	23	23	335.119	-27.6146
2713	4	24	0	351.66	-30.2375
2714	4	24	1	8.61597	-30.2127
2715	4	24	2	24.9757	-27.2395
2716	4	24	3	39.8914	-21.7271
2717	4	24	4	53.1539	-14.2765
2718	4	24	5	65.0368	-5.47304
2719	4	24	6	76.0388	4.19659
2720	4	24	7	86.7517	14.3344
2721	4	24	8	97.8617	24.5787
2722	4	24	9	110.241	34.5269
2723	4	24	10	125.08	43.6181
2724	4	24	11	143.85	50.9617
2725	4	24	12	167.305	55.2355
2726	4	24	13	193.11	55.1979
2727	4	24	14	216.496	50.862
2728	4	24	15	235.191	43.4802
2729	4	24	16	249.978	34.3688
2730	4	24	17	262.328	24.412
2731	4	24	18	273.425	14.1664
2732	4	24	19	284.138	4.0333
2733	4	24	20	295.149	-5.62552
2734	4	24	21	307.051	-14.411
2735	4	24	22	320.34	-21.8348
2736	4	24	23	335.282	-27.3102
2737	4	25	0	351.753	-29.9138
2738	4	25	1	8.62991	-29.8794
2739	4	25	2	24.9164	-26.9102
2740	4	25	3	39.7769	-21.411
2741	4	25	4	53.003	-13.9768
2742	4	25	5	64.8624	-5.1883
2743	4	25	6	75.8479	4.47044
2744	4	25	7	86.5475	14.6029
2745	4	25	8	97.6462	24.8487
2746	4	25	9	110.019	34.8062
2747	4	25	10	124.87	43.9153
2748	4	25	11	143.701	51.2817
2749	4	25	12	167.297	55.5689
2750	4	25	13	193.285	55.5162
2751	4	25	14	216.783	51.1421
2752	4	25	15	235.507	43.7225
2753	4	25	16	250.286	34.5857
2754	4	25	17	262.618	24.6163
2755	4	25	18	273.698	14.369
2756	4	25	19	284.397	4.24329
2757	4	25	20	295.396	-5.40026
2758	4	25	21	307.282	-14.1636
2759	4	25	22	320.544	-21.5605
2760	4	25	23	335.441	-27.0083
2761	4	26	0	351.842	-29.5933
2762	4	26	1	8.64163	-29.5499
2763	4	26	2	24.8563	-26.5849
2764	4	26	3	39.6626	-21.099
2765	4	26	4	52.8527	-13.6811
2766	4	26	5	64.6888	-4.90762
2767	4	26	6	75.6577	4.74017
2768	4	26	7	86.3437	14.8672
2769	4	26	8	97.4307	25.1143
2770	4	26	9	109.797	35.081
2771	4	26	10	124.659	44.2079
2772	4	26	11	143.548	51.5973
2773	4	26	12	167.286	55.8986
2774	4	26	13	193.458	55.8312
2775	4	26	14	217.069	51.4192
2776	4	26	15	235.821	43.9625
2777	4	26	16	250.59	34.8008
2778	4	26	17	262.904	24.8192
2779	4	26	18	273.968	14.5704
2780	4	26	19	284.653	4.45214
2781	4	26	20	295.639	-5.17619
2782	4	26	21	307.508	-13.9177
2783	4	26	22	320.743	-21.2881
2784	4	26	23	335.596	-26.7089
2785	4	27	0	351.928	-29.2761
2786	4	27	1	8.65115	-29.2241
2787	4	27	2	24.7953	-26.2637
2788	4	27	3	39.5483	-20.7912
2789	4	27	4	52.7029	-13.3896
2790	4	27	5	64.5158	-4.6311
2791	4	27	6	75.4681	5.00569
2792	4	27	7	86.1403	15.1272
2793	4	27	8	97.2152	25.3754
2794	4	27	9	109.574	35.3513
2795	4	27	10	124.446	44.4959
2796	4	27	11	143.392	51.9085
2797	4	27	12	167.272	56.2244
2798	4	27	13	193.628	56.1428
2799	4	27	14	217.352	51.6934
2800	4	27	15	236.132	44.2
2801	4	27	16	250.89	35.0138
2802	4	27	17	263.186	25.0205
2803	4	27	18	274.234	14.7705
2804	4	27	19	284.905	4.65977
2805	4	27	20	295.878	-4.95343
2806	4	27	21	307.73	-13.6733
2807	4	27	22	320.938	-21.0177
2808	4	27	23	335.747	-26.4121
2809	4	28	0	352.01	-28.9623
2810	4	28	1	8.65845	-28.9023
2811	4	28	2	24.7334	-25.9466
2812	4	28	3	39.434	-20.4875
2813	4	28	4	52.5536	-13.1024
2814	4	28	5	64.3435	-4.35883
2815	4	28	6	75.2792	5.2669
2816	4	28	7	85.9374	15.3828
2817	4	28	8	96.9998	25.632
2818	4	28	9	109.351	35.6169
2819	4	28	10	124.231	44.7792
2820	4	28	11	143.233	52.2152
2821	4	28	12	167.255	56.5461
2822	4	28	13	193.797	56.4509
2823	4	28	14	217.633	51.9645
2824	4	28	15	236.439	44.435
2825	4	28	16	251.187	35.2249
2826	4	28	17	263.465	25.2202
2827	4	28	18	274.496	14.9693
2828	4	28	19	285.153	4.86622
2829	4	28	20	296.113	-4.73194
2830	4	28	21	307.948	-13.4305
2831	4	28	22	321.129	-20.7494
2832	4	28	23	335.893	-26.1181
2833	4	29	0	352.089	-28.652
2834	4	29	1	8.6636	-28.5844
2835	4	29	2	24.6706	-25.6338
2836	4	29	3	39.3198	-20.1882
2837	4	29	4	52.4048	-12.8195
2838	4	29	5	64.1719	-4.09091
2839	4	29	6	75.091	5.52372
2840	4	29	7	85.7351	15.6339
2841	4	29	8	96.7846	25.884
2842	4	29	9	109.127	35.8777
2843	4	29	10	124.014	45.0577
2844	4	29	11	143.071	52.5173
2845	4	29	12	167.234	56.8638
2846	4	29	13	193.962	56.7555
2847	4	29	14	217.911	52.2326
2848	4	29	15	236.743	44.6675
2849	4	29	16	251.481	35.4341
2850	4	29	17	263.74	25.4184
2851	4	29	18	274.754	15.1667
2852	4	29	19	285.397	5.07134
2853	4	29	20	296.343	-4.51184
2854	4	29	21	308.161	-13.1894
2855	4	29	22	321.314	-20.4832
2856	4	29	23	336.034	-25.8268
2857	4	30	0	352.164	-28.3452
2858	4	30	1	8.6665	-28.2706
2859	4	30	2	24.6069	-25.3253
2860	4	30	3	39.2056	-19.8933
2861	4	30	4	52.2567	-12.541
2862	4	30	5	64.0012	-3.82742
2863	4	30	6	74.9036	5.77605
2864	4	30	7	85.5334	15.8804
2865	4	30	8	96.5697	26.1313
2866	4	30	9	108.902	36.1336
2867	4	30	10	123.796	45.3312
2868	4	30	11	142.906	52.8147
2869	4	30	12	167.21	57.1773
2870	4	30	13	194.125	57.0564
2871	4	30	14	218.187	52.4975
2872	4	30	15	237.044	44.8974
2873	4	30	16	251.77	35.6412
2874	4	30	17	264.011	25.6149
2875	4	30	18	275.008	15.3627
2876	4	30	19	285.636	5.27515
2877	4	30	20	296.568	-4.29318
2878	4	30	21	308.369	-12.95
2879	4	30	22	321.495	-20.2192
2880	4	30	23	336.172	-25.5384
2881	5	1	0	352.235	-28.0421
2882	5	1	1	8.66718	-27.9611
2883	5	1	2	24.5423	-25.0213
2884	5	1	3	39.0915	-19.603
2885	5	1	4	52.1091	-12.267
2886	5	1	5	63.8312	-3.56845
2887	5	1	6	74.717	6.02384
2888	5	1	7	85.3324	16.1223
2889	5	1	8	96.3551	26.3738
2890	5	1	9	108.678	36.3846
2891	5	1	10	123.576	45.5998
2892	5	1	11	142.738	53.1073
2893	5	1	12	167.182	57.4865
2894	5	1	13	194.285	57.3536
2895	5	1	14	218.459	52.7593
2896	5	1	15	237.341	45.1248
2897	5	1	16	252.056	35.8463
2898	5	1	17	264.278	25.8098
2899	5	1	18	275.258	15.5573
2900	5	1	19	285.871	5.47761
2901	5	1	20	296.79	-4.07601
2902	5	1	21	308.573	-12.7124
2903	5	1	22	321.671	-19.9576
2904	5	1	23	336.304	-25.253
2905	5	2	0	352.303	-27.7427
2906	5	2	1	8.66565	-27.6557
2907	5	2	2	24.4769	-24.7218
2908	5	2	3	38.9775	-19.3172
2909	5	2	4	51.9621	-11.9976
2910	5	2	5	63.662	-3.31407
2911	5	2	6	74.5313	6.26698
2912	5	2	7	85.1321	16.3594
2913	5	2	8	96.1409	26.6114
2914	5	2	9	108.453	36.6306
2915	5	2	10	123.355	45.8632
2916	5	2	11	142.567	53.395
2917	5	2	12	167.15	57.7914
