    Fribourg_Switzerland
    46.82,7.16,610,+1
	m	d	h	#sunAzimuth	sunAltitude
155	1	7	10	143.287	12.2089
156	1	7	11	156.599	17.3554
157	1	7	12	170.922	20.2309
158	1	7	13	185.704	20.5336
159	1	7	14	200.193	18.2293
160	1	7	15	213.767	13.5669
161	1	7	16	226.158	6.97095
162	1	7	17	237.448	-1.0947
163	1	7	18	247.945	-10.2102
164	1	7	19	258.098	-20.0184
165	1	7	20	268.5	-30.2015
166	1	7	21	280.004	-40.4261
167	1	7	22	294.01	-50.236
168	1	7	23	312.936	-58.8158
169	1	8	0	339.701	-64.4121
170	1	8	1	12.5599	-65.1187
171	1	8	2	41.3919	-60.4009
172	1	8	3	61.9488	-52.3217
173	1	8	4	76.8622	-42.7155
174	1	8	5	88.8141	-32.5421
175	1	8	6	99.396	-22.3157
176	1	8	7	109.557	-12.3867
177	1	8	8	119.937	-3.07118
178	1	8	9	131.016	5.28559
179	1	8	10	143.143	12.2778
180	1	8	11	156.464	17.4459
181	1	8	12	170.805	20.3431
182	1	8	13	185.612	20.6647
183	1	8	14	200.129	18.3741
184	1	8	15	213.729	13.7197
185	1	8	16	226.143	7.12739
186	1	8	17	237.451	-0.937562
187	1	8	18	247.961	-10.0539
188	1	8	19	258.124	-19.8631
189	1	8	20	268.532	-30.0467
190	1	8	21	280.036	-40.2709
191	1	8	22	294.03	-50.0794
192	1	8	23	312.911	-58.6592
193	1	9	0	339.568	-64.2605
194	1	9	1	12.2888	-65.0037
195	1	9	2	41.0949	-60.3321
196	1	9	3	61.691	-52.2836
197	1	9	4	76.6438	-42.6923
198	1	9	5	88.623	-32.5235
199	1	9	6	99.2222	-22.2947
200	1	9	7	109.393	-12.3583
201	1	9	8	119.779	-3.03085
202	1	9	9	130.863	5.34194
203	1	9	10	142.996	12.3537
204	1	9	11	156.329	17.5437
205	1	9	12	170.688	20.4626
206	1	9	13	185.521	20.8028
207	1	9	14	200.068	18.5255
208	1	9	15	213.696	13.8787
209	1	9	16	226.133	7.28925
210	1	9	17	237.459	-0.775629
211	1	9	18	247.983	-9.89312
212	1	9	19	258.156	-19.7038
213	1	9	20	268.571	-29.8881
214	1	9	21	280.077	-40.1118
215	1	9	22	294.06	-49.9184
216	1	9	23	312.895	-58.4972
217	1	10	0	339.444	-64.1022
218	1	10	1	12.0206	-64.8809
219	1	10	2	40.7948	-60.2556
220	1	10	3	61.4279	-52.2384
221	1	10	4	76.4199	-42.6625
222	1	10	5	88.4268	-32.4986
223	1	10	6	99.0438	-22.2676
224	1	10	7	109.226	-12.3236
225	1	10	8	119.619	-2.98405
226	1	10	9	130.708	5.40502
227	1	10	10	142.847	12.4367
228	1	10	11	156.192	17.6487
229	1	10	12	170.571	20.5894
230	1	10	13	185.432	20.948
231	1	10	14	200.01	18.6835
232	1	10	15	213.667	14.0436
233	1	10	16	226.128	7.45646
234	1	10	17	237.473	-0.608939
235	1	10	18	248.011	-9.72813
236	1	10	19	258.194	-19.5405
237	1	10	20	268.617	-29.7257
238	1	10	21	280.126	-39.9488
239	1	10	22	294.099	-49.7531
240	1	10	23	312.889	-58.33
241	1	11	0	339.33	-63.9372
242	1	11	1	11.756	-64.7504
243	1	11	2	40.4918	-60.1714
244	1	11	3	61.1597	-52.1863
245	1	11	4	76.1907	-42.6263
246	1	11	5	88.2258	-32.4674
247	1	11	6	98.861	-22.2343
248	1	11	7	109.055	-12.2827
249	1	11	8	119.454	-2.93077
250	1	11	9	130.549	5.47486
251	1	11	10	142.697	12.5266
252	1	11	11	156.055	17.7608
253	1	11	12	170.455	20.7233
254	1	11	13	185.345	21.1002
255	1	11	14	199.955	18.848
256	1	11	15	213.643	14.2144
257	1	11	16	226.129	7.62889
258	1	11	17	237.492	-0.437594
259	1	11	18	248.044	-9.55896
260	1	11	19	258.239	-19.3734
261	1	11	20	268.67	-29.5596
262	1	11	21	280.182	-39.7819
263	1	11	22	294.147	-49.5834
264	1	11	23	312.893	-58.1576
265	1	12	0	339.224	-63.7658
266	1	12	1	11.4951	-64.6121
267	1	12	2	40.1866	-60.0795
268	1	12	3	60.8867	-52.1271
269	1	12	4	75.9565	-42.5835
270	1	12	5	88.02	-32.43
271	1	12	6	98.6739	-22.1948
272	1	12	7	108.879	-12.2354
273	1	12	8	119.287	-2.87099
274	1	12	9	130.388	5.55141
275	1	12	10	142.544	12.6235
276	1	12	11	155.916	17.8802
277	1	12	12	170.34	20.8644
278	1	12	13	185.26	21.2593
279	1	12	14	199.904	19.019
280	1	12	15	213.623	14.391
281	1	12	16	226.134	7.80648
282	1	12	17	237.517	-0.261718
283	1	12	18	248.084	-9.38573
284	1	12	19	258.291	-19.2025
285	1	12	20	268.73	-29.3898
286	1	12	21	280.247	-39.6112
287	1	12	22	294.204	-49.4096
288	1	12	23	312.907	-57.98
289	1	13	0	339.127	-63.5879
290	1	13	1	11.2385	-64.4661
291	1	13	2	39.8793	-59.9799
292	1	13	3	60.6091	-52.0607
293	1	13	4	75.7173	-42.5341
294	1	13	5	87.8096	-32.3862
295	1	13	6	98.4826	-22.149
296	1	13	7	108.7	-12.1818
297	1	13	8	119.116	-2.80474
298	1	13	9	130.224	5.63467
299	1	13	10	142.39	12.7274
300	1	13	11	155.777	18.0066
301	1	13	12	170.225	21.0127
302	1	13	13	185.178	21.4252
303	1	13	14	199.857	19.1963
304	1	13	15	213.608	14.5733
305	1	13	16	226.145	7.98912
306	1	13	17	237.548	-0.0813774
307	1	13	18	248.13	-9.20852
308	1	13	19	258.349	-19.0279
309	1	13	20	268.797	-29.2165
310	1	13	21	280.319	-39.437
311	1	13	22	294.269	-49.2317
312	1	13	23	312.931	-57.7975
313	1	14	0	339.039	-63.4038
314	1	14	1	10.9862	-64.3127
315	1	14	2	39.5705	-59.8727
316	1	14	3	60.3275	-51.9873
317	1	14	4	75.4735	-42.4781
318	1	14	5	87.5948	-32.3361
319	1	14	6	98.2874	-22.0969
320	1	14	7	108.518	-12.1219
321	1	14	8	118.942	-2.73201
322	1	14	9	130.058	5.72462
323	1	14	10	142.234	12.8381
324	1	14	11	155.638	18.14
325	1	14	12	170.111	21.1679
326	1	14	13	185.097	21.5979
327	1	14	14	199.812	19.3799
328	1	14	15	213.597	14.7613
329	1	14	16	226.161	8.17669
330	1	14	17	237.584	0.103312
331	1	14	18	248.183	-9.02742
332	1	14	19	258.413	-18.8498
333	1	14	20	268.871	-29.0398
334	1	14	21	280.399	-39.2591
335	1	14	22	294.343	-49.0497
336	1	14	23	312.964	-57.6101
337	1	15	0	338.961	-63.2135
338	1	15	1	10.739	-64.1517
339	1	15	2	39.2606	-59.7578
340	1	15	3	60.0419	-51.9067
341	1	15	4	75.2253	-42.4154
342	1	15	5	87.3757	-32.2796
343	1	15	6	98.0882	-22.0386
344	1	15	7	108.332	-12.0557
345	1	15	8	118.765	-2.65282
346	1	15	9	129.89	5.82123
347	1	15	10	142.076	12.9558
348	1	15	11	155.498	18.2805
349	1	15	12	169.998	21.3301
350	1	15	13	185.019	21.7774
351	1	15	14	199.772	19.5697
352	1	15	15	213.59	14.9548
353	1	15	16	226.182	8.36913
354	1	15	17	237.627	0.292237
355	1	15	18	248.241	-8.84257
356	1	15	19	258.484	-18.6683
357	1	15	20	268.953	-28.8597
358	1	15	21	280.486	-39.0778
359	1	15	22	294.425	-48.8639
360	1	15	23	313.006	-57.4179
361	1	16	0	338.891	-63.017
362	1	16	1	10.4967	-63.9833
363	1	16	2	38.95	-59.6353
364	1	16	3	59.7528	-51.819
365	1	16	4	74.9729	-42.346
366	1	16	5	87.1526	-32.2167
367	1	16	6	97.8853	-21.9739
368	1	16	7	108.142	-11.9831
369	1	16	8	118.586	-2.56716
370	1	16	9	129.719	5.9245
371	1	16	10	141.917	13.0802
372	1	16	11	155.357	18.428
373	1	16	12	169.885	21.4993
374	1	16	13	184.943	21.9634
375	1	16	14	199.735	19.7656
376	1	16	15	213.589	15.1537
377	1	16	16	226.209	8.56631
378	1	16	17	237.674	0.485341
379	1	16	18	248.305	-8.654
380	1	16	19	258.561	-18.4833
381	1	16	20	269.041	-28.6763
382	1	16	21	280.581	-38.8931
383	1	16	22	294.516	-48.6742
384	1	16	23	313.058	-57.2209
385	1	17	0	338.831	-62.8146
386	1	17	1	10.2599	-63.8076
387	1	17	2	38.6391	-59.5052
388	1	17	3	59.4604	-51.724
389	1	17	4	74.7166	-42.2699
390	1	17	5	86.9255	-32.1473
391	1	17	6	97.6787	-21.903
392	1	17	7	107.95	-11.9042
393	1	17	8	118.403	-2.47507
394	1	17	9	129.545	6.03437
395	1	17	10	141.756	13.2115
396	1	17	11	155.216	18.5823
397	1	17	12	169.773	21.6753
398	1	17	13	184.869	22.156
399	1	17	14	199.702	19.9675
400	1	17	15	213.592	15.358
401	1	17	16	226.241	8.76815
402	1	17	17	237.728	0.682448
403	1	17	18	248.375	-8.4619
404	1	17	19	258.645	-18.2951
405	1	17	20	269.136	-28.4898
406	1	17	21	280.684	-38.7051
407	1	17	22	294.616	-48.4807
408	1	17	23	313.118	-57.0193
409	1	18	0	338.779	-62.6063
410	1	18	1	10.0287	-63.6246
411	1	18	2	38.3282	-59.3674
412	1	18	3	59.1652	-51.6219
413	1	18	4	74.4565	-42.1871
414	1	18	5	86.6948	-32.0715
415	1	18	6	97.4688	-21.8257
416	1	18	7	107.754	-11.819
417	1	18	8	118.218	-2.37654
418	1	18	9	129.37	6.15084
419	1	18	10	141.594	13.3495
420	1	18	11	155.074	18.7435
421	1	18	12	169.663	21.858
422	1	18	13	184.798	22.355
423	1	18	14	199.673	20.1754
424	1	18	15	213.6	15.5675
425	1	18	16	226.278	8.97454
426	1	18	17	237.787	0.883519
427	1	18	18	248.451	-8.2663
428	1	18	19	258.735	-18.1037
429	1	18	20	269.237	-28.3002
430	1	18	21	280.794	-38.5139
431	1	18	22	294.723	-48.2836
432	1	18	23	313.188	-56.8131
433	1	19	0	338.737	-62.3922
434	1	19	1	9.80344	-63.4345
435	1	19	2	38.0179	-59.2222
436	1	19	3	58.8673	-51.5127
437	1	19	4	74.1929	-42.0975
438	1	19	5	86.4604	-31.9893
439	1	19	6	97.2555	-21.7421
440	1	19	7	107.555	-11.7275
441	1	19	8	118.03	-2.27161
442	1	19	9	129.193	6.27384
443	1	19	10	141.43	13.4942
444	1	19	11	154.932	18.9114
445	1	19	12	169.553	22.0475
446	1	19	13	184.73	22.5605
447	1	19	14	199.647	20.389
448	1	19	15	213.613	15.7821
449	1	19	16	226.321	9.18536
450	1	19	17	237.853	1.08841
451	1	19	18	248.534	-8.06734
452	1	19	19	258.831	-17.9092
453	1	19	20	269.346	-28.1076
454	1	19	21	280.911	-38.3195
455	1	19	22	294.838	-48.0829
456	1	19	23	313.267	-56.6025
457	1	20	0	338.703	-62.1725
458	1	20	1	9.58408	-63.2374
459	1	20	2	37.7083	-59.0694
460	1	20	3	58.5672	-51.3962
461	1	20	4	73.9261	-42.0012
462	1	20	5	86.2228	-31.9006
463	1	20	6	97.039	-21.6521
464	1	20	7	107.354	-11.6296
465	1	20	8	117.84	-2.1603
466	1	20	9	129.013	6.40336
467	1	20	10	141.265	13.6455
468	1	20	11	154.79	19.0861
469	1	20	12	169.445	22.2436
470	1	20	13	184.664	22.7722
471	1	20	14	199.626	20.6084
472	1	20	15	213.63	16.0018
473	1	20	16	226.369	9.40048
474	1	20	17	237.923	1.29702
475	1	20	18	248.622	-7.86511
476	1	20	19	258.934	-17.7117
477	1	20	20	269.461	-27.9121
478	1	20	21	281.035	-38.1221
479	1	20	22	294.962	-47.8787
480	1	20	23	313.354	-56.3875
481	1	21	0	338.678	-61.9472
482	1	21	1	9.37115	-63.0334
483	1	21	2	37.4001	-58.9092
484	1	21	3	58.2652	-51.2726
485	1	21	4	73.6562	-41.8981
486	1	21	5	85.982	-31.8054
487	1	21	6	96.8195	-21.5559
488	1	21	7	107.149	-11.5255
